instance_stem,num_subjects,num_groups,num_p,population_size,generations,crossover_rate,mutation_rate,tournament_size,elitism,seed,best_fitness,elapsed_seconds,results_file,assignment_file,arm_type,instance_id,h_file,m_file
H_30_obs_4_id_1,30,2,4,100,200,1.0,0.14,2,3,123,0.29006859021372766,0.8839077080010611,results/twoarm/GA_results_H_30_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_30_obs_4_id_1.csv,moments_matrices/M_l_2_1.csv
H_30_obs_4_id_2,30,2,4,100,200,1.0,0.14,2,3,123,0.2832608210070501,0.8890134590001253,results/twoarm/GA_results_H_30_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_30_obs_4_id_2.csv,moments_matrices/M_l_2_1.csv
H_30_obs_4_id_3,30,2,4,100,200,1.0,0.14,2,3,123,0.4066001753026489,0.8939686250014347,results/twoarm/GA_results_H_30_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_30_obs_4_id_3.csv,moments_matrices/M_l_2_1.csv
H_30_obs_4_id_4,30,2,4,100,200,1.0,0.14,2,3,123,0.33405813217133373,0.8938482499997917,results/twoarm/GA_results_H_30_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_30_obs_4_id_4.csv,moments_matrices/M_l_2_1.csv
H_30_obs_4_id_5,30,2,4,100,200,1.0,0.14,2,3,123,0.28760662531188674,0.8963383330010402,results/twoarm/GA_results_H_30_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_30_obs_4_id_5.csv,moments_matrices/M_l_2_1.csv
H_30_obs_5_id_1,30,2,5,100,200,1.0,0.14,2,3,123,0.3637885450054077,0.9039468749997468,results/twoarm/GA_results_H_30_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_30_obs_5_id_1.csv,moments_matrices/M_l_2_2.csv
H_30_obs_5_id_2,30,2,5,100,200,1.0,0.14,2,3,123,0.39959674450765803,0.9142562910001288,results/twoarm/GA_results_H_30_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_30_obs_5_id_2.csv,moments_matrices/M_l_2_2.csv
H_30_obs_5_id_3,30,2,5,100,200,1.0,0.14,2,3,123,0.44381732499762383,0.9089569169991591,results/twoarm/GA_results_H_30_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_30_obs_5_id_3.csv,moments_matrices/M_l_2_2.csv
H_30_obs_5_id_4,30,2,5,100,200,1.0,0.14,2,3,123,0.3845613412120137,0.922689666000224,results/twoarm/GA_results_H_30_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_30_obs_5_id_4.csv,moments_matrices/M_l_2_2.csv
H_30_obs_5_id_5,30,2,5,100,200,1.0,0.14,2,3,123,0.5048120102727046,0.92413999999917,results/twoarm/GA_results_H_30_obs_5_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_5_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_30_obs_5_id_5.csv,moments_matrices/M_l_2_2.csv
H_40_obs_3_id_1,40,2,3,100,200,1.0,0.14,2,3,123,0.18437471904374172,1.0012228750001668,results/twoarm/GA_results_H_40_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_40_obs_3_id_1.csv,moments_matrices/M_l_2_0.csv
H_40_obs_3_id_2,40,2,3,100,200,1.0,0.14,2,3,123,0.15183123772144924,1.000088875000074,results/twoarm/GA_results_H_40_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_40_obs_3_id_2.csv,moments_matrices/M_l_2_0.csv
H_40_obs_3_id_3,40,2,3,100,200,1.0,0.14,2,3,123,0.1838686752041409,1.0040204169999924,results/twoarm/GA_results_H_40_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_40_obs_3_id_3.csv,moments_matrices/M_l_2_0.csv
H_40_obs_3_id_4,40,2,3,100,200,1.0,0.14,2,3,123,0.1774224113947454,1.0033585829987715,results/twoarm/GA_results_H_40_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_40_obs_3_id_4.csv,moments_matrices/M_l_2_0.csv
